Year,Gender,Education,Constant,Income,Income_SD,Percentage,Percentage_SD,NumberOfPeople,NumberOfPeople_SD
1990,Male,Overall,TRUE,60130,NA,NA,NA,44406,268.5666
1995,Male,Overall,TRUE,57970,461.3748,NA,NA,48500,306.1474
2000,Male,Overall,TRUE,60960,231.6056,81.6744,0.2315,54065,309.7204
2001,Male,Overall,TRUE,60090,150.1597,80.0884,0.1689,54013,224.8392
2002,Male,Overall,TRUE,58490,142.1304,79.3832,0.1702,54108,224.9797
2003,Male,Overall,TRUE,58290,125.0782,79.5066,0.1697,54253,225.1936
2004,Male,Overall,TRUE,56960,120.4633,80.0084,0.1668,55469,226.9616
2005,Male,Overall,TRUE,56710,480.4402,80.2846,0.1644,56717,228.7282
2006,Male,Overall,TRUE,58030,169.9375,81.0933,0.1606,58109,230.643
2007,Male,Overall,TRUE,57960,160.2927,80.5182,0.1619,58147,230.6944
2008,Male,Overall,TRUE,58180,402.5384,76.9811,0.1719,55655,227.2279
2009,Male,Overall,TRUE,59580,239.5254,73.8714,0.1811,52445,222.4776
2010,Male,Overall,TRUE,59050,109.0367,74.8027,0.1793,52890,223.156
2011,Male,Overall,TRUE,57570,28.414,76.6057,0.1747,54279,225.2319
2012,Male,Overall,TRUE,56740,160.3466,76.5413,0.1733,55208.003,226.586
2013,Male,Overall,TRUE,56100,163.519,78.1442,0.2131,56703,289.3354
2014,Male,Overall,TRUE,55500,143.63,79.2414,0.1813,58435,256.0993
2015,Male,Overall,TRUE,56420,163.9539,79.3086,0.1792,59690,264.7808
2016,Male,Overall,TRUE,57250,772.2747,80.0826,0.1761,60677,266.3996
2017,Male,Overall,TRUE,58020,280.5635,80.4379,0.1737,61794,268.1978
2018,Male,Overall,TRUE,58470,450.0089,81.0542,0.2451,62603,392.239
2019,Male,Overall,TRUE,60610,213,80.6344,0.2642,62815,418.786
1990,Male,LessThan9thGrade,TRUE,34030,NA,NA,NA,2250,73.8702
1995,Male,LessThan9thGrade,TRUE,30790,914.361,NA,NA,1946,72.8062
2000,Male,LessThan9thGrade,TRUE,30860,558.229,69.1983,1.3325,1968,67.9676
2001,Male,LessThan9thGrade,TRUE,30840,339.3032,69.7094,0.8968,2207,51.3545
2002,Male,LessThan9thGrade,TRUE,29730,302.7377,70.0716,0.9071,2154,50.7398
2003,Male,LessThan9thGrade,TRUE,29490,315.4749,71.4655,0.892,2209,51.3776
2004,Male,LessThan9thGrade,TRUE,29320,258.5224,74.6769,0.8377,2427,53.8285
2005,Male,LessThan9thGrade,TRUE,29230,288.0023,74.0006,0.8415,2425,53.8066
2006,Male,LessThan9thGrade,TRUE,28800,504.7397,73.6202,0.8546,2361,53.0989
2007,Male,LessThan9thGrade,TRUE,28820,670.7633,71.0919,0.907,2142,50.5995
2008,Male,LessThan9thGrade,TRUE,28800,749.2676,66.3098,0.9494,1982,48.6893
2009,Male,LessThan9thGrade,TRUE,28530,469.5174,56.1713,1.0336,1561,43.2479
2010,Male,LessThan9thGrade,TRUE,28670,699.9451,58.8452,1.0364,1600,43.7813
2011,Male,LessThan9thGrade,TRUE,28670,26.1409,67.1512,0.9832,1848,47.0278
2012,Male,LessThan9thGrade,TRUE,27980,489.9478,65.3915,0.9976,1793.3426,46.3324
2013,Male,LessThan9thGrade,TRUE,28710,582.7422,69.2801,1.2099,1944,61.0056
2014,Male,LessThan9thGrade,TRUE,28710,412.5311,72.2202,1.0346,1994,53.975
2015,Male,LessThan9thGrade,TRUE,29290,496.1763,72.1524,1.0313,2008,54.1998
2016,Male,LessThan9thGrade,TRUE,32330,532.6032,72.2571,1.0757,1844,51.9539
2017,Male,LessThan9thGrade,TRUE,32330,384.8622,74.316,1.0715,1820,51.6168
2018,Male,LessThan9thGrade,TRUE,32380,427.6103,75.1801,1.5022,1878,75.1112
2019,Male,LessThan9thGrade,TRUE,32140,531,72.7195,1.7162,1706,76.8764
1990,Male,Highschool not completed,TRUE,40900,NA,NA,NA,3315,89.2896
1995,Male,Highschool not completed,TRUE,37220,573.7825,NA,NA,3335,94.8974
2000,Male,Highschool not completed,TRUE,37260,647.3081,71.7587,1.0135,3354,88.4414
2001,Male,Highschool not completed,TRUE,37840,362.4047,70.8536,0.7098,3503,64.5234
2002,Male,Highschool not completed,TRUE,36820,294.2099,71.2735,0.6918,3680,66.1088
2003,Male,Highschool not completed,TRUE,36780,389.1321,70.0958,0.7256,3369,63.295
2004,Male,Highschool not completed,TRUE,35570,316.7238,71.1617,0.7127,3468,64.2049
2005,Male,Highschool not completed,TRUE,35590,310.257,73.8471,0.6864,3652,65.8607
2006,Male,Highschool not completed,TRUE,35070,726.673,72.9053,0.6697,3872,67.784
2007,Male,Highschool not completed,TRUE,36150,727.4823,70.8333,0.7151,3451,64.0497
2008,Male,Highschool not completed,TRUE,35240,543.8424,64.6084,0.7559,3118,60.9237
2009,Male,Highschool not completed,TRUE,33390,645.8844,61.7816,0.7934,2795,57.721
2010,Male,Highschool not completed,TRUE,34510,801.9472,61.6455,0.8199,2615,55.8525
2011,Male,Highschool not completed,TRUE,34580,340.9684,64.23,0.8096,2715,56.8985
2012,Male,Highschool not completed,TRUE,33770,478.8126,64.3601,0.8164,2671.2372,56.4432
2013,Male,Highschool not completed,TRUE,33540,604.691,68.9084,0.9895,2910,74.4886
2014,Male,Highschool not completed,TRUE,33300,412.5311,69.4329,0.8489,3012,66.1985
2015,Male,Highschool not completed,TRUE,34670,345.1661,71.1493,0.8491,2984,65.9614
2016,Male,Highschool not completed,TRUE,34610,1317.6604,71.5225,0.8711,2828,64.2313
2017,Male,Highschool not completed,TRUE,36110,1302.6909,72.2099,0.8534,2931,65.379
2018,Male,Highschool not completed,TRUE,36250,413.3566,73.0641,1.2326,2859,92.539
2019,Male,Highschool not completed,TRUE,37150,826,73.1808,1.3727,2655,95.7592
1990,Male,Highschool completed,TRUE,52150,NA,NA,NA,16394,188.0263
1995,Male,Highschool completed,TRUE,49510,600.6261,NA,NA,15331,195.632
2000,Male,Highschool completed,TRUE,50930,678.4858,80.9045,0.4194,16834,191.7356
2001,Male,Highschool completed,TRUE,50130,431.7091,79.3521,0.31,16314,135.4398
2002,Male,Highschool completed,TRUE,47200,442.0254,77.8383,0.3181,16005,134.2432
2003,Male,Highschool completed,TRUE,49210,233.4793,78.7379,0.3125,16285,135.3281
2004,Male,Highschool completed,TRUE,48350,200.321,79.1164,0.3039,17067,138.2982
2005,Male,Highschool completed,TRUE,47520,184.5833,79.4677,0.301,17266,139.0404
2006,Male,Highschool completed,TRUE,46960,207.9832,79.6378,0.2994,17369,139.4224
2007,Male,Highschool completed,TRUE,46680,500.6064,79.3696,0.3017,17224,138.8842
2008,Male,Highschool completed,TRUE,46320,473.7841,74.5901,0.3245,16195,134.9807
2009,Male,Highschool completed,TRUE,47040,451.6424,70.1163,0.3408,15258,131.2902
2010,Male,Highschool completed,TRUE,46960,277.8677,71.8691,0.3406,15104,130.6705
2011,Male,Highschool completed,TRUE,45970,98.8808,74.2004,0.3342,15335,131.5986
2012,Male,Highschool completed,TRUE,44930,216.0224,74.486,0.3341,15294.51,131.4366
2013,Male,Highschool completed,TRUE,44210,249.1195,76.5346,0.4068,16034,169.9674
2014,Male,Highschool completed,TRUE,44200,212.7451,78.3378,0.3452,16429,150.2679
2015,Male,Highschool completed,TRUE,44840,198.4705,77.7338,0.3488,16286,150.5427
2016,Male,Highschool completed,TRUE,44620,191.7372,78.828,0.3391,16855,152.9933
2017,Male,Highschool completed,TRUE,44260,546.5252,79.4809,0.3352,16997,153.5972
2018,Male,Highschool completed,TRUE,46400,305.4359,80.6656,0.4686,17306,222.679
2019,Male,Highschool completed,TRUE,46850,378,78.8119,0.5208,16902,236.0661
1990,Male,College no degree,TRUE,62090,NA,NA,NA,9113,144.6133
1995,Male,College no degree,TRUE,56850,867.3846,NA,NA,8908,152.3495
2000,Male,College no degree,TRUE,59890,463.2113,82.2442,0.539,9792,148.8037
2001,Male,College no degree,TRUE,59260,308.9825,80.2435,0.402,9494,104.8765
2002,Male,College no degree,TRUE,58060,277.1542,78.7906,0.4066,9603,105.452
2003,Male,College no degree,TRUE,57460,252.9359,78.8199,0.4123,9340,104.057
2004,Male,College no degree,TRUE,56710,236.8661,79.3041,0.4119,9257,103.6122
2005,Male,College no degree,TRUE,55530,422.8397,80.0134,0.4024,9532,105.0776
2006,Male,College no degree,TRUE,55590,1029.7704,80.1165,0.4027,9493,104.8712
2007,Male,College no degree,TRUE,55360,721.3172,79.4828,0.398,9867,106.8308
2008,Male,College no degree,TRUE,54410,327.7304,76.4564,0.4177,9515,104.9877
2009,Male,College no degree,TRUE,56120,413.509,73.3555,0.4482,8609,100.0594
2010,Male,College no degree,TRUE,54440,408.0082,72.9065,0.4509,8541,99.678
2011,Male,College no degree,TRUE,53500,88.6518,75.2149,0.4396,8752,100.856
2012,Male,College no degree,TRUE,52540,453.2017,73.6714,0.4382,8973.9548,102.0781
2013,Male,College no degree,TRUE,52290,811.0103,76.2034,0.5456,8960,129.037
2014,Male,College no degree,TRUE,50640,463.2876,76.6645,0.4666,9281,114.6913
2015,Male,College no degree,TRUE,53580,763.6801,77.2408,0.4602,9445,116.045
2016,Male,College no degree,TRUE,52450,835.1218,78.3854,0.4513,9603,116.9792
2017,Male,College no degree,TRUE,53030,285.7785,79.1273,0.4471,9629,117.1321
2018,Male,College no degree,TRUE,52630,296.2729,78.6743,0.6534,9341,165.6317
2019,Male,College no degree,TRUE,53810,1484,78.9108,0.7095,9085,175.3144
1990,Male,AssociateDegree,TRUE,NA,NA,NA,NA,NA,NA
1995,Male,AssociateDegree,TRUE,59060,897.5837,NA,NA,3926,102.7714
2000,Male,AssociateDegree,TRUE,62280,682.9397,86.6496,0.7089,4729,104.6757
2001,Male,AssociateDegree,TRUE,61760,809.9961,84.0885,0.5365,4714,74.6591
2002,Male,AssociateDegree,TRUE,60910,956.5374,81.3876,0.5814,4399,72.1695
2003,Male,AssociateDegree,TRUE,59580,999.2356,82.0836,0.5568,4696,74.5192
2004,Male,AssociateDegree,TRUE,60100,1260.1275,83.6255,0.5302,4913,76.1865
2005,Male,AssociateDegree,TRUE,61760,480.4402,82.4573,0.5353,5022,77.0093
2006,Male,AssociateDegree,TRUE,59700,494.5942,85.3088,0.5023,5110,77.6666
2007,Male,AssociateDegree,TRUE,60470,987.6497,83.3174,0.5161,5244,78.656
2008,Male,AssociateDegree,TRUE,59550,408.4755,79.3676,0.5588,5020,76.9943
2009,Male,AssociateDegree,TRUE,59940,283.6171,77.9087,0.5787,4828,75.5382
2010,Male,AssociateDegree,TRUE,58950,287.2472,78.1584,0.5649,5042,77.1592
2011,Male,AssociateDegree,TRUE,57880,240.951,77.9808,0.5569,5206,78.3768
2012,Male,AssociateDegree,TRUE,56750,366.3473,78.839,0.5408,5423.1804,79.9581
2013,Male,AssociateDegree,TRUE,55970,541.0393,79.6391,0.6668,5605,102.7926
2014,Male,AssociateDegree,TRUE,55200,372.5739,79.858,0.5801,5622,89.9531
2015,Male,AssociateDegree,TRUE,56170,379.6827,80.6416,0.5603,5907,92.3393
2016,Male,AssociateDegree,TRUE,55520,492.1254,81.0944,0.5483,6091,93.7366
2017,Male,AssociateDegree,TRUE,57050,1474.7838,81.7948,0.5445,6052,93.4423
2018,Male,AssociateDegree,TRUE,57750,608.8356,82.8301,0.751,6310,136.7632
2019,Male,AssociateDegree,TRUE,58800,1555,82.2037,0.8019,6513,149.0576
1990,Male,BachelorOrHigher,TRUE,83490,NA,NA,NA,13334,171.8435
1995,Male,BachelorOrHigher,TRUE,84690,523.4507,NA,NA,15054,194.0394
2000,Male,BachelorOrHigher,TRUE,91850,449.8494,84.7925,0.386,17387,194.5878
2001,Male,BachelorOrHigher,TRUE,89840,402.8323,83.3411,0.2801,17780,140.9327
2002,Male,BachelorOrHigher,TRUE,87690,285.682,83.909,0.2735,18267,142.694
2003,Male,BachelorOrHigher,TRUE,86270,259.8846,83.0949,0.2769,18354,143.0055
2004,Male,BachelorOrHigher,TRUE,85000,1080.1093,83.0262,0.2774,18338,142.9483
2005,Male,BachelorOrHigher,TRUE,86620,466.04,82.9404,0.2742,18820,144.6581
2006,Male,BachelorOrHigher,TRUE,84880,438.7938,84.7297,0.2577,19903,148.3994
2007,Male,BachelorOrHigher,TRUE,86810,297.158,84.5199,0.2568,20218,149.4626
2008,Male,BachelorOrHigher,TRUE,85750,280.2332,82.6076,0.2687,19825,148.1344
2009,Male,BachelorOrHigher,TRUE,85160,284.8088,80.8226,0.2791,19395,146.6613
2010,Male,BachelorOrHigher,TRUE,84160,313.0408,81.3826,0.2727,19990,148.6941
2011,Male,BachelorOrHigher,TRUE,83940,556.9151,82.03,0.2672,20423,150.1487
2012,Male,BachelorOrHigher,TRUE,83870,629.1375,82.0982,0.2629,21051.778,152.2254
2013,Male,BachelorOrHigher,TRUE,83520,532.2598,82.402,0.3294,21249,193.3867
2014,Male,BachelorOrHigher,TRUE,81970,422.2505,83.3069,0.2779,22098,172.1059
2015,Male,BachelorOrHigher,TRUE,85560,1456.1696,82.9968,0.2735,23059,176.9387
2016,Male,BachelorOrHigher,TRUE,85550,475.0821,83.4199,0.2692,23456,178.3249
2017,Male,BachelorOrHigher,TRUE,84880,334.7989,82.9871,0.2661,24365,181.4425
2018,Male,BachelorOrHigher,TRUE,84340,1964.9711,83.3601,0.3745,24908,263.9382
2019,Male,BachelorOrHigher,TRUE,86740,557,83.6012,0.3922,25954,288.0765
1990,Male,Bachelor,TRUE,76780,NA,NA,NA,7569,132.634
1995,Male,Bachelor,TRUE,75940,855.6405,NA,NA,9597,157.7758
2000,Male,Bachelor,TRUE,83640,850.7053,85.5587,0.4688,11395,159.8951
2001,Male,Bachelor,TRUE,80750,483.6875,83.6174,0.3469,11479,114.8252
2002,Male,Bachelor,TRUE,79700,547.2019,84.4205,0.3365,11829,116.4738
2003,Male,Bachelor,TRUE,78520,507.2615,83.9546,0.3393,11846,116.5532
2004,Male,Bachelor,TRUE,77450,531.9335,83.0919,0.3469,11701,115.8742
2005,Male,Bachelor,TRUE,78570,854.8431,82.9965,0.3426,12032,117.417
2006,Male,Bachelor,TRUE,77240,298.0247,85.1558,0.3189,12764,120.7426
2007,Male,Bachelor,TRUE,76550,290.9929,85.1307,0.3166,12962,121.6228
2008,Male,Bachelor,TRUE,78130,460.7224,83.2277,0.3333,12609,120.048
2009,Male,Bachelor,TRUE,74410,842.5097,79.9298,0.3547,12290,118.6024
2010,Male,Bachelor,TRUE,74730,1307.2677,81.8101,0.3382,12836,121.0636
2011,Male,Bachelor,TRUE,75240,28.414,82.0802,0.3345,13013,121.8482
2012,Male,Bachelor,TRUE,73660,634.7051,82.4649,0.3286,13314.782,123.1715
2013,Male,Bachelor,TRUE,73790,1088.6633,82.5802,0.414,13378,156.1659
2014,Male,Bachelor,TRUE,73610,1384.4632,83.742,0.3467,13969,139.3038
2015,Male,Bachelor,TRUE,77000,453.0305,83.5152,0.3421,14469,142.359
2016,Male,Bachelor,TRUE,76300,407.9741,83.7629,0.3376,14723,143.538
2017,Male,Bachelor,TRUE,75090,411.9799,83.1449,0.3334,15445,146.8256
2018,Male,Bachelor,TRUE,76510,976.3769,84.2803,0.4597,15961,214.3021
2019,Male,Bachelor,TRUE,77090,533,83.882,0.4899,16461,233.1374
1990,Male,Master,TRUE,NA,NA,NA,NA,NA,NA
1995,Male,Master,TRUE,92640,1632.4279,NA,NA,3395,95.7292
2000,Male,Master,TRUE,101430,2235.8853,82.7897,0.8714,3680,92.5686
2001,Male,Master,TRUE,102370,991.9203,82.4178,0.603,3961,68.5457
2002,Male,Master,TRUE,95630,1839.167,82.2375,0.597,4065,69.4246
2003,Male,Master,TRUE,98170,781.0437,81.0535,0.6033,4124,69.9179
2004,Male,Master,TRUE,96820,663.225,83.082,0.5761,4243,70.9016
2005,Male,Master,TRUE,98220,1608.8854,82.6566,0.5782,4275,71.1637
2006,Male,Master,TRUE,95660,1089.3754,83.508,0.5526,4542,73.311
2007,Male,Master,TRUE,94060,512.9367,83.5218,0.5374,4800,75.3233
2008,Male,Master,TRUE,96140,555.7167,80.9246,0.5656,4709,74.6202
2009,Male,Master,TRUE,94550,1868.5363,82.0186,0.5647,4575,73.5717
2010,Male,Master,TRUE,94920,531.1141,79.9794,0.5751,4670,74.3167
2011,Male,Master,TRUE,94370,858.1039,82.3099,0.5465,4839,75.6224
2012,Male,Master,TRUE,94780,1572.2871,80.7553,0.55,5003.4913,76.8703
2013,Male,Master,TRUE,94720,1568.2459,82.5341,0.668,5146,98.5897
2014,Male,Master,TRUE,91530,2146.8899,82.6726,0.5683,5401,88.208
2015,Male,Master,TRUE,93560,1760.3472,82.6728,0.5445,5883,92.1554
2016,Male,Master,TRUE,94200,2359.4322,82.7677,0.5395,5975,92.8583
2017,Male,Master,TRUE,95540,675.8556,82.7196,0.5359,6065,93.5405
2018,Male,Master,TRUE,101420,1781.7096,81.6655,0.7795,6080,134.2944
2019,Male,Master,TRUE,100560,502,82.8097,0.7925,6537,149.3262
1990,Male,Professional,TRUE,NA,NA,NA,NA,NA,NA
1995,Male,Professional,TRUE,133660,4331.8899,NA,NA,1208,57.4948
2000,Male,Professional,TRUE,147590,30928.2615,85.8491,1.3926,1274,54.7746
2001,Male,Professional,TRUE,144380,NA,84.6154,1.0116,1298,39.4584
2002,Male,Professional,TRUE,142130,NA,85.6582,0.985,1308,39.6093
2003,Male,Professional,TRUE,138980,NA,84.3554,0.998,1348,40.207
2004,Male,Professional,TRUE,135350,NA,83.3333,1.0342,1305,39.5641
2005,Male,Professional,TRUE,130910,NA,83.7309,1.0024,1369,40.5172
2006,Male,Professional,TRUE,126820,NA,85.9469,0.9373,1425,41.3328
2007,Male,Professional,TRUE,123300,NA,83.1461,1.0271,1332,39.969
2008,Male,Professional,TRUE,118740,NA,82.4228,1.0186,1388,40.7958
2009,Male,Professional,TRUE,146860,3025.6465,85.0968,0.9934,1319,39.7746
2010,Male,Professional,TRUE,135180,5734.3911,81.4352,1.0956,1237,38.5249
2011,Male,Professional,TRUE,135790,2178.7883,81.5558,1.0668,1300,39.4886
2012,Male,Professional,TRUE,129560,6271.3321,84.4352,1.0144,1300.6244,39.498
2013,Male,Professional,TRUE,139070,9489.5885,83.2112,1.3403,1249,48.9703
2014,Male,Professional,TRUE,131490,6464.4279,83.4767,1.1171,1359,44.6175
2015,Male,Professional,TRUE,141510,7763.0019,82.0915,1.1897,1256,42.9209
2016,Male,Professional,TRUE,125210,7787.7242,82.3239,1.2286,1169,41.4138
2017,Male,Professional,TRUE,132700,5674.8929,83.662,1.1908,1188,41.7477
2018,Male,Professional,TRUE,137890,10319.6619,85.1296,1.6151,1248,61.2878
2019,Male,Professional,TRUE,150100,7151,84.5651,1.7243,1293,66.9711
1990,Male,Doctor,TRUE,NA,NA,NA,NA,NA,NA
1995,Male,Doctor,TRUE,109620,3670.8656,NA,NA,853,48.3668
2000,Male,Doctor,TRUE,119140,3631.4577,82.5119,1.6484,1038,49.4689
2001,Male,Doctor,TRUE,125560,4350.2998,82.2275,1.1799,1041,35.3557
2002,Male,Doctor,TRUE,118400,2950.6264,82.7506,1.1606,1065,35.7592
2003,Male,Doctor,TRUE,121090,3513.3068,80.2632,1.216,1037,35.288
2004,Male,Doctor,TRUE,111530,3279.58,81.7431,1.1629,1088,36.1415
2005,Male,Doctor,TRUE,112400,4007.1589,82.4207,1.122,1144,37.0556
2006,Male,Doctor,TRUE,126820,NA,83.4164,1.0897,1172,37.5042
2007,Male,Doctor,TRUE,113550,2335.3414,83.5189,1.1101,1125,36.7481
2008,Male,Doctor,TRUE,118740,NA,83.0735,1.122,1119,36.6504
2009,Male,Doctor,TRUE,120050,618.476,81.1788,1.1109,1212,38.1356
2010,Male,Doctor,TRUE,118680,765.6016,82.2442,1.0782,1246,38.6641
2011,Male,Doctor,TRUE,114530,218.2198,80.9554,1.0883,1271,39.048
2012,Male,Doctor,TRUE,118550,5184.5388,81.4163,1.0182,1432.8811,41.4462
2013,Male,Doctor,TRUE,115540,5082.258,79.7407,1.2979,1476,53.2095
2014,Male,Doctor,TRUE,108760,920.0957,81.2463,1.1541,1369,44.7805
2015,Male,Doctor,TRUE,110380,5178.5706,80.0331,1.1394,1451,46.1172
